'Step time [ms]'
'Step time Left [ms]'
'Step time Right [ms]'
'Cadence [steps/min]'
'Step length Left [m]'
'Step length Right [m]'
'Stride Length [m]'
'Walking Speed[m/s]'
'Froude [au]'
'Beta [deg]'
'SDa [au]'
'SDb [au]'
'Ratio [au]'
'Walk Ratio [mm/(steps/min)]'
'DutyFactor_Double Stance [%]'
'DutyFactor_Single Stance [%]'
