,7143,15
,7144,15
,7145,15
,7146,15
,7147,15
,7148,15
,7149,16
,7150,16
,7151,15
,7152,15
,7153,17
,7154,16
,7155,16
,7156,16
,7157,15
,7158,16
,7159,16
,7160,16
,7161,13
,7162,16
,7163,9
,7164,8
,7165,8
,7166,11
,7167,10
,7168,10
,7169,12
,7170,10
,7171,16
,7172,16
,7173,14
,7174,13
,7175,15
,7176,12
,7177,15
,7178,13
,7179,12
,7180,11
,7181,15
,7182,15
,7183,14
,7184,122
,7185,88
,7186,80
,7187,79
,7188,53
,7189,81
,7190,61
,7191,70
,7192,77
,7193,91
,7194,86
,7195,66
,7196,81
,7197,68
,7198,71
,7199,78
,7200,60
,7201,64
,7202,84
,7203,97
,7204,110
,7205,87
,7206,92
,7207,80
,7208,69
,7209,82
,7210,92
,7211,85
,7212,87
,7213,64
,7214,80
,7215,90
,7216,72
,7217,88
,7218,90
,7219,95
,7220,84
,7221,85
,7222,95
,7223,59
,7224,80
,7225,4
,7226,4
,7227,4
,7228,3
,7229,4
,7230,4
,7231,4
,7232,4
,7233,4
,7234,4
,7235,4
,7236,4
,7237,4
,7238,4
,7239,4
,7240,4
,7241,4
,7242,4
,7243,3
,7244,4
,7245,3
,7246,2
,7247,2
,7248,2
,7249,2
,7250,2
,7251,3
,7252,2
,7253,4
,7254,4
,7255,4
,7256,2
,7257,4
,7258,3
,7259,4
,7260,4
,7261,4
,7262,2
,7263,4
,7264,4
,7265,4
,7266,5
,7267,6
,7268,6
,7269,5
,7270,6
,7271,6
,7272,6
,7273,6
,7274,3
,7275,5
,7276,5
,7277,6
,7278,5
,7279,6
,7280,3
,7281,5
,7282,5
,7283,6
,7284,6
,7285,5
,7286,5
,7287,5
,7288,6
,7289,4
,7290,6
,7291,6
,7292,4
,7293,6
,7294,4
,7295,5
,7296,6
,7297,6
,7298,6
,7299,5
,7300,5
,7301,4
,7302,6
,7303,5
,7304,6
,7305,6
,7306,3
,7307,5
,7308,5
,7309,6
,7310,5
,7311,5
,7312,5
,7313,5
,7314,5
,7315,5
,7316,6
,7317,6
,7318,5
,7319,5
,7320,3
,7321,6
,7322,5
,7323,5
,7324,2
,7325,7
,7326,2
,7327,2
,7328,1
,7329,5
,7330,5
,7331,2
,7332,3
,7333,02-Jul
,7334,2
,7335,5
,7336,5
,7337,5
,7338,3
,7339,3
,7340,60
,7341,120
,7342,100
,7343,120
,7344,120
,7345,90
,7346,120
,7347,120
,7348,120
,7349,120
,7350,120
,7351,180
,7352,120
,7353,60
,7354,120
,7355,120
,7356,120
,7357,60
,7358,30
,7359,60
,7360,90
,7361,60
,7362,60
,7363,120
,7364,60
,7365,120
,7366,180
,7367,45
,7368,60
,7369,90
,7370,60
,7371,60
,7372,180
,7373,122
